column,count,missing_count,missing_percentage,min,max,mean,median,std,p0.1,p1,p5,p25,p50,p75,p95,p99,p99.9
coord_x,614219,0,0.0,-740.0,746.0,-0.987,0.0,332.788,-715.0,-690.0,-602.0,-169.0,0.0,163.0,602.0,690.0,715.0
coord_y,614219,0,0.0,-156.0,1304.0,283.51,181.0,254.981,-75.0,-37.0,6.0,69.0,181.0,508.0,727.0,821.0,1229.0
