season_code,coord_x,coord_y,zone
E2007,0.0,0.0,0.011
E2008,0.0,0.0,0.005
E2009,0.0,0.0,0.009
E2010,0.0,0.0,0.009
E2011,0.0,0.0,0.027
E2012,0.0,0.0,0.02
E2013,0.0,0.0,0.007
E2014,0.0,0.0,0.019
E2015,0.0,0.0,0.016
E2016,0.0,0.0,0.013
E2017,0.0,0.0,0.006
E2018,0.0,0.0,0.006
E2019,0.0,0.0,0.016
E2020,0.0,0.0,0.018
E2021,0.0,0.0,0.017
E2022,0.0,0.0,0.02
E2023,0.0,0.0,0.029
E2024,0.0,0.0,0.022
E2025,0.0,0.0,0.01
