player_id,code,slug_used,competition_path,profile_url,first_name,last_name,height_cm,position,nationality,born,club_code,club_name,fetch_status
P011987,011987,carsen-edwards,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/carsen-edwards/profile/011987/,CARSEN,EDWARDS,180,Guard,United States of America,1998-03-12T00:00:00,VIR,Virtus Bologna,ok
P014416,014416,kessler-edwards,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/kessler-edwards/profile/014416/,KESSLER,EDWARDS,204,Forward,United States of America,2000-08-09T00:00:00,HTA,Hapoel IBI Tel Aviv,ok
P010807,010807,karahan-efeoglu,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/karahan-efeoglu/profile/010807/,KARAHAN,EFEOGLU,203,Forward,Turkiye,2004-06-13T00:00:00,IST,Anadolu Efes Istanbul,ok
P012730,012730,john-egbunu,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/john-egbunu/profile/012730/,JOHN,EGBUNU,208,Center,Nigeria,1994-10-31T00:00:00,ASV,LDLC ASVEL Villeurbanne,ok
PLOC,LOC,chuck-eidson,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/chuck-eidson/profile/LOC/,CHUCK,EIDSON,202,Guard,United States of America,1980-10-10T00:00:00,BAR,FC Barcelona Regal,ok
P008174,008174,mert-eksioglu,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/mert-eksioglu/profile/008174/,MERT,EKSIOGLU,188,Guard,Turkiye,2002-01-02T00:00:00,ULK,Fenerbahce Beko Istanbul,ok
P000317,000317,khalid-el-amin,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/khalid-el-amin/profile/000317/,KHALID,EL-AMIN,178,Guard,United States of America,1979-04-25T00:00:00,LIE,Lietuvos Rytas Vilnius,ok
P003064,003064,courtney-eldridge,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/courtney-eldridge/profile/003064/,COURTNEY,ELDRIDGE,176,Guard,United States of America,1980-06-10T00:00:00,SOP,Asseco Prokom Gdynia,ok
P004857,004857,frank-elegar,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/frank-elegar/profile/004857/,FRANK,ELEGAR,203,,United States of America,1986-12-03T00:00:00,MIL,EA7 Emporio Armani Milan,ok
PLGD,LGD,lior-eliyahu,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/lior-eliyahu/profile/LGD/,LIOR,ELIYAHU,205,Forward,Israel,1985-09-09T00:00:00,TEL,Maccabi Electra Tel Aviv,ok
