player_id,name,query_used,match_status,athlete_id,matched_name,matched_club,position_3cat,formation_position_name,formation_position_short,height_365,candidates
P003931,"NELSON, REEVES",Reeves Nelson,ambiguous,,,,,,,,"111174:Olivia Nelson-Ododa:Connecticut Sun; 137680:Nelson Colon:None; 64434:Nelson Weidemann:Ratiopharm Ulm; 147626:Grant Nelson:Brooklyn Nets; 64357:Luke Nelson:None; 109268:Nelson Boachie-Yiadom:Davidson; 109615:Jameer Nelson Jr.:Stockton Kings; 240376:Jameer Nelson Sr.:Philadelphia 76ers; 147273:Tyrell Nelson:Uralmash; 203834:Wesley Nelson Dreamer:None; 109561:Nelson Phillips:None; 109186:Eoin Nelson:Wyoming; 196563:Izaiyah Nelson:Orlando Magic; 223645:Wesley Dreamer:ČEZ Nymburk; 70924:Nelson, Demarcus:None; 109960:Jason Nelson:Youngstown State; 145120:Adrian Nelson:None; 145244:Tyler Nelson:None; 148331:Jajuan Nelson:Pittsburgh; 161365:Nelson Peralta:Olimpia; 161419:Nelson Peralta:Sol De America; 202229:Nelson Martin:Hamburg Towers; 202076:Marek Nelson:Olomouc; 203532:Nelson Haskin:Traiskirchen; 206690:Nelson Peralta:Ca Ciudad Nueva; 226132:Evan Nelson:Arizona; 226409:Dominick Nelson:Iowa State"
PKXL,"NELSON, SPENCER",Spencer Nelson,ambiguous,,,,,,,,"111174:Olivia Nelson-Ododa:Connecticut Sun; 137680:Nelson Colon:None; 64434:Nelson Weidemann:Ratiopharm Ulm; 147626:Grant Nelson:Brooklyn Nets; 64357:Luke Nelson:None; 109268:Nelson Boachie-Yiadom:Davidson; 109615:Jameer Nelson Jr.:Stockton Kings; 240376:Jameer Nelson Sr.:Philadelphia 76ers; 147273:Tyrell Nelson:Uralmash; 203834:Wesley Nelson Dreamer:None; 109561:Nelson Phillips:None; 109186:Eoin Nelson:Wyoming; 196563:Izaiyah Nelson:Orlando Magic; 223645:Wesley Dreamer:ČEZ Nymburk; 70924:Nelson, Demarcus:None; 109960:Jason Nelson:Youngstown State; 145120:Adrian Nelson:None; 145244:Tyler Nelson:None; 148331:Jajuan Nelson:Pittsburgh; 161365:Nelson Peralta:Olimpia; 161419:Nelson Peralta:Sol De America; 202229:Nelson Martin:Hamburg Towers; 202076:Marek Nelson:Olomouc; 203532:Nelson Haskin:Traiskirchen; 206690:Nelson Peralta:Ca Ciudad Nueva; 226132:Evan Nelson:Arizona; 226409:Dominick Nelson:Iowa State"
P008807,"NENADIC, NEMANJA",Nemanja Nenadic,exact,142492,Nemanja Nenadic,,Guard,Small Forward,SF,"6' 6""",142492:Nemanja Nenadic:None
P005172,"NERUSH, OLEKSANDR",Oleksandr Nerush,not_found,,,,,,,,
PCIA,"NESOVIC, ALEKSEJ",Aleksej Nesovic,not_found,,,,,,,,
P002815,"NESTEROVIC, RASHO",Rasho Nesterovic,not_found,,,,,,,,
P013505,"NETO, RAUL",Raul Neto,exact,53580,Raul Neto,,Guard,Point Guard,PG,"6' 2""",53580:Raul Neto:None
P014122,"NETZIPOGLOU, OMIROS",Omiros Netzipoglou,exact,141842,Omiros Netzipoglou,Olympiacos,Guard,Shooting Guard,SG,"6' 5""",141842:Omiros Netzipoglou:Olympiacos
P002090,"NEUMANN, PHILIPP",Philipp Neumann,not_found,,,,,,,,
P000396,"NEWLEY, BRAD",Brad Newley,exact,145593,Brad Newley,,Forward,Power Forward,PF,"6' 6""",145593:Brad Newley:None
P002341,"NEY, JOEY",Joey Ney,exact,191943,Neysser Coutin,Capitalinos De La Habana,Guard,Power Forward,PF,"6' 4""",191943:Neysser Coutin:Capitalinos De La Habana
P009556,"NGOUAMA, MEHDY",Mehdy Ngouama,exact,72259,Mehdy Ngouama,CB Granada,Guard,Point Guard,PG,"6' 2""",72259:Mehdy Ngouama:CB Granada
P004215,"NGUIRANE, MAODO MALICK",Maodo Malick Nguirane,exact,120628,Maodo Nguirane,,Forward,Small Forward,SF,"6' 11""",120628:Maodo Nguirane:None
P012687,"NIANG, SALIOU",Saliou Niang,exact,143724,Saliou Niang,,Forward,Small Forward,SF,"6' 5""",143724:Saliou Niang:None
PKNG,"NICHOLAS, DREW",Drew Nicholas,ambiguous,,,,,,,,71073:Nick Spires:Södertälje BBK; 89174:Joirdon  Nicholas:Maccabi Ironi Ramat Gan; 128432:Nicholas Boyd:Wisconsin; 90684:Nick Hornsby:Dorados De Chihuahua; 83604:Nicholas Colin Kay:None; 142224:Nicholas Errica:None; 182708:Nicholas Tomsick:Gambusinos De Fresnillo; 172242:Nicholas Barrow:Auckland Huskies; 181663:Nicholas Stoddart:Tasmania Jackjumpers; 89312:Nicholas Evtimov:None; 108754:Nicholas McMullen:Murray State; 146039:Nicholas Marshall:None; 149533:Nicholas Petri:None; 158335:Ty Nicholas:Usti nad Labem; 172346:Nicholas Davidson:Nelson Giants; 182637:Nicholas Tischler:Baskets Oldenburg; 202877:Nicholas Muszynski:Wellington Saints; 226331:Nicholas Randall:Missouri
P001834,"NICHOLS, AUSTIN",Austin Nichols,ambiguous,,,,,,,,126859:Matthew Nicholson:Northwestern; 150001:Andrew Nicholson:None; 148307:Emmer Nichols:Georgia Tech; 173445:Lauren Nicholson:None; 109346:Jimmy Nichols Jr.:None; 149417:Kipper Nichols:Sheffield Sharks; 193341:Ty Nichols:Maccabi Ironi Ramat Gan; 184222:Kassim Nicholson:Rostock Seawolves; 157932:Javyn Nicholson:None; 223750:David Nichols:Kolossos Rhodes; 227762:Mason Nicholson:Vanderbilt
P003482,"NICHOLS, DEMETRIS",Demetris Nichols,ambiguous,,,,,,,,126859:Matthew Nicholson:Northwestern; 150001:Andrew Nicholson:None; 148307:Emmer Nichols:Georgia Tech; 173445:Lauren Nicholson:None; 109346:Jimmy Nichols Jr.:None; 149417:Kipper Nichols:Sheffield Sharks; 193341:Ty Nichols:Maccabi Ironi Ramat Gan; 184222:Kassim Nicholson:Rostock Seawolves; 157932:Javyn Nicholson:None; 223750:David Nichols:Kolossos Rhodes; 227762:Mason Nicholson:Vanderbilt
PJRD,"NIELSEN, MATT",Matt Nielsen,not_found,,,,,,,,
P006819,"NIKIC, KRESIMIR",Kresimir Nikic,exact,70956,Kresimir Nikic,Mitteldeutscher,Center,Center,C,"7' 0""",70956:Kresimir Nikic:Mitteldeutscher
P010063,"NIKOLAIDIS, ALEXANDROS",Alexandros Nikolaidis,exact,84910,Alexandros Nikolaidis,Panionios Idrogios,Guard,Point Guard,PG,"6' 3""",84910:Alexandros Nikolaidis:Panionios Idrogios
P003703,"NIKOLIC, ALEKSEJ",Aleksej Nikolic,exact,97405,Aleksej Nikolic,KK Cedevita Olimpija,Guard,Shooting Guard,SG,"6' 3""",97405:Aleksej Nikolic:KK Cedevita Olimpija
P002551,"NIKOLIC, DANILO",Danilo Nikolic,exact,64408,Danilo Nikolic,Kk Spartak Subotica,Forward,Power Forward,PF,"6' 9""",64408:Danilo Nikolic:Kk Spartak Subotica
PBOS,"NIKOLIC, GORAN",Goran Nikolic,ambiguous,,,,,,,,97405:Aleksej Nikolic:KK Cedevita Olimpija; 71205:Zoran Nikolic:KK Budućnost; 64408:Danilo Nikolic:Kk Spartak Subotica; 182794:Dimitrije Nikolic:None; 71283:Stefan Nikolic:Reyer Venezia; 227575:Dusan Nikolic:Skyliners Frankfurt
PJMS,"NIKOLIC, UROS",Uros Nikolic,ambiguous,,,,,,,,97405:Aleksej Nikolic:KK Cedevita Olimpija; 71205:Zoran Nikolic:KK Budućnost; 64408:Danilo Nikolic:Kk Spartak Subotica; 182794:Dimitrije Nikolic:None; 71283:Stefan Nikolic:Reyer Venezia; 227575:Dusan Nikolic:Skyliners Frankfurt
P005357,"NIKOLIC, ZORAN",Zoran Nikolic,exact,71205,Zoran Nikolic,KK Budućnost,Center,Center,C,"7' 0""",71205:Zoran Nikolic:KK Budućnost
P005963,"NIKOLOV, KRISTIJAN",Kristijan Nikolov,ambiguous,,,,,,,,188534:Ivana Nikolova:Levharti Chomutov (W); 191908:Strahil Nikolov:Tft Skopje
P001908,"NJEI, ACHA",Acha Njei,not_found,,,,,,,,
PLNM,"NJOYA, SAIDOU",Saidou Njoya,not_found,,,,,,,,
P010641,"NNAJI, JAMES",James Nnaji,exact,105183,James Nnaji,Baylor,Center,Center,C,"7' 0""",105183:James Nnaji:Baylor
P009051,"NNOKO, LANDRY",Landry Nnoko,exact,70961,Landry Nnoko,Bursaspor Durmazlar,Center,Center,C,"6' 10""",70961:Landry Nnoko:Bursaspor Durmazlar
P001241,"NOCEDAL, MATIAS",Matias Nocedal,not_found,,,,,,,,
PAPR,"NOCIONI, ANDRES",Andres Nocioni,not_found,,,,,,,,
P010162,"NOGUES, ISAAC",Isaac Nogues,exact,175918,Isaac Nogués,Valencia Basket,Guard,Shooting Guard,SG,"6' 5""",175918:Isaac Nogués:Valencia Basket
PJSU,"NOLAN, NORMAN",Norman Nolan,ambiguous,,,,,,,,157357:Nolan Traore:Brooklyn Nets; 108526:Nolan Hickman:Capital City Go-Go; 147965:Nolan Winter:Wisconsin; 90010:Nolan Foster:Ohio; 109318:C.J. Noland:None; 142508:Nolan Kingue:None; 192617:Kenny Noland:Columbia; 200159:Nolan Hodge:UNC Wilmington; 200242:Nolan Kemm:None; 223701:Nolan Adekunle:TBB Trier; 226241:Nolan Groves:Texas Tech
PLHH,"NOREL, HENK",Henk Norel,not_found,,,,,,,,
P014134,"NORRIS, MILES",Miles Norris,exact,89884,Miles Norris,,Forward,Power Forward,PF,"6' 10""",89884:Miles Norris:None
P006068,"NOUA, AMINE",Amine Noua,exact,70973,Amine Noua,Aris Bsa,Forward,Power Forward,PF,"6' 8""",70973:Amine Noua:Aris Bsa
P001890,"NOVIKOV, VALENTIN",Valentin Novikov,exact,147276,Igor Novikov,Uralmash,Guard,Point Guard,PG,"6' 3""",147276:Igor Novikov:Uralmash
P000078,"NOVI, MICHELE",Michele Novi,ambiguous,,,,,,,,71197:Novica Velickovic:None; 191546:Rostyslav Novitskyi:VEF Riga; 147276:Igor Novikov:Uralmash
P014119,"NOWELL, MARKQUIS",Markquis Nowell,exact,126395,Markquis Nowell,,Guard,Point Guard,PG,"5' 7""",126395:Markquis Nowell:None
PABB,"NTIKOUDIS, DIMOSTHENIS",Dimosthenis Ntikoudis,not_found,,,,,,,,
P006591,"NTILIKINA, FRANK",Frank Ntilikina,exact,53512,Frank Ntilikina,Paris Basketball,Guard,Point Guard,PG,"6' 4""",53512:Frank Ntilikina:Paris Basketball
P012100,"NUFER, ANTON",Anton Nufer,exact,147289,Anton Nufer,Alba Berlin,Guard,Point Guard,PG,"6' 6""",147289:Anton Nufer:Alba Berlin
P010106,"NUNEZ, JUAN",Juan Nunez,exact,95475,Juan Núñez,Barcelona,Guard,Point Guard,PG,"6' 3""",95475:Juan Núñez:Barcelona
P007400,"NUNNALLY, JAMES WILLIAM",James William Nunnally,ambiguous,,,,,,,,53212:James Nunnally:AEK; 126051:Alex Nunnally:None
P012774,"NUNN, KENDRICK",Kendrick Nunn,exact,71332,Kendrick Nunn,Panathinaikos,Guard,Shooting Guard,SG,"6' 2""",71332:Kendrick Nunn:Panathinaikos
P004053,"NURKIC, JUSUF",Jusuf Nurkic,exact,53657,Jusuf Nurkic,Utah Jazz,Center,Center,C,"7' 0""",53657:Jusuf Nurkic:Utah Jazz
P013363,"NWORA, JORDAN",Jordan Nwora,exact,86055,Jordan Nwora,Crvena Zvezda,Forward,Small Forward,SF,"6' 7""",86055:Jordan Nwora:Crvena Zvezda
P005092,"NZEULIE, JEREMY",Jeremy Nzeulie,exact,72665,Jeremy Nzeulie,,Guard,Shooting Guard,SG,"6' 2""",72665:Jeremy Nzeulie:None
P011938,"OBASOHAN, RETIN",Retin Obasohan,exact,72629,Retin Obasohan,Baxi Manresa,Guard,Shooting Guard,SG,"6' 1""",72629:Retin Obasohan:Baxi Manresa
P008262,"OBIESIE, JOSHUA",Joshua Obiesie,exact,102848,Joshua Obiesie,Basketball Lowen Braunschweig,Forward,Power Forward,PF,"6' 6""",102848:Joshua Obiesie:Basketball Lowen Braunschweig
P009004,"O'BRYANT, JOHNNY",Johnny O'Bryant,exact,53480,Johnny O'Bryant,,Forward,Power Forward,PF,"6' 9""",53480:Johnny O'Bryant:None
P004508,"OBST, ANDREAS",Andreas Obst,exact,69978,Andreas Obst,Bayern Munich,Guard,Shooting Guard,SG,"6' 3""",69978:Andreas Obst:Bayern Munich
P011823,"ODIASE, TAI",Tai Odiase,exact,121959,Tai Odiase,Hapoel Tel Aviv,Center,Center,C,"6' 9""",121959:Tai Odiase:Hapoel Tel Aviv
P008140,"ODINOKOV, VLADISLAV",Vladislav Odinokov,exact,81890,Vladislav Odinokov,,Center,Center,C,"6' 9""",81890:Vladislav Odinokov:None
P005667,"ODOM, LAMAR",Lamar Odom,ambiguous,,,,,,,,94982:Leaonna Odom:None; 121019:Rashard Odomes:Bcm Pitesti; 126001:Connor Odom:None; 108821:Dwon Odom:None; 128768:Shy Odom:None; 230628:Owen Odom:Virginia
P004982,"OFOEGBU, IKE",Ike Ofoegbu,exact,72948,Ike Ofoegbu,Maccabi Ashdod,Center,Center,C,"6' 9""",72948:Ike Ofoegbu:Maccabi Ashdod
P003242,"OGBE, KENNETH",Kenneth Ogbe,exact,70957,Kenneth Ogbe,Hamburg Towers,Guard,Shooting Guard,SG,"6' 6""",70957:Kenneth Ogbe:Hamburg Towers
P002926,"OGILVY, ANDREW JAMES",Andrew James Ogilvy,not_found,,,,,,,,
P007057,"OGUNSIPE, MARVIN",Marvin Ogunsipe,not_found,,,,,,,,
P000622,"OHAYON, YOGEV",Yogev Ohayon,exact,64756,Yogev Ohayon,Ironi Nahariya,Guard,Point Guard,PG,"6' 2""",64756:Yogev Ohayon:Ironi Nahariya
PLPK,"OHLBRECHT, TIM",Tim Ohlbrecht,not_found,,,,,,,,
P009461,"OIKONOMOPOULOS, SOTIRIOS",Sotirios Oikonomopoulos,exact,106456,Sotirios Oikonomopoulos,Panionios Idrogios,Guard,Point Guard,PG,"6' 3""",106456:Sotirios Oikonomopoulos:Panionios Idrogios
P011982,"OJELEYE, SEMI",Semi Ojeleye,exact,53318,Semi Ojeleye,,Forward,Small Forward,SF,"6' 6""",53318:Semi Ojeleye:None
P008801,"OJO, MICHAEL",Michael Ojo,exact,70920,"Ojo, Michael",,Center,Center,C,"7' 1""","70920:Ojo, Michael:None"
P014006,"OKEKE, CHUMA",Chuma Okeke,exact,85972,Chuma Okeke,Real Madrid,Forward,Power Forward,PF,"6' 7""",85972:Chuma Okeke:Real Madrid
P011212,"OKOBO, ELIE",Elie Okobo,exact,64213,Elie Okobo,BC Dubai,Guard,Point Guard,PG,"6' 3""",64213:Elie Okobo:BC Dubai
P005363,"OKOUO, VINY",Viny Okouo,exact,83600,Viny Okouo,Fuenlabrada,Center,Center,C,"7' 0""",83600:Viny Okouo:Fuenlabrada
PASB,"OKULAJA, ADEMOLA",Ademola Okulaja,not_found,,,,,,,,
P006600,"OLASENI, GABE",Gabe Olaseni,exact,117985,Gabriel Olaseni,Casademont Zaragoza,Center,Center,C,"6' 11""",117985:Gabriel Olaseni:Casademont Zaragoza
P001972,"OLESON, BRAD",Brad Oleson,not_found,,,,,,,,
P006919,"OLINDE, LOUIS",Louis Olinde,exact,53177,Louis Olinde,Baxi Manresa,Forward,Small Forward,SF,"6' 9""",53177:Louis Olinde:Baxi Manresa
