season_player_id,season_code,player_id,player,team_id,height_cm,position,nationality,born,games_played,games_started,minutes,has_positive_minutes,has_positive_games,has_event_data,has_valid_spatial_data,shot_event_count,valid_spatial_shot_count,valid_zone_shot_count,points,two_points_made,two_points_attempted,two_points_percentage,three_points_made,three_points_attempted,three_points_percentage,free_throws_made,free_throws_attempted,free_throws_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,points_per_36,two_point_attempts_per_36,three_point_attempts_per_36,free_throw_attempts_per_36,offensive_rebounds_per_36,defensive_rebounds_per_36,assists_per_36,steals_per_36,turnovers_per_36,blocks_per_36,fouls_committed_per_36,fouls_received_per_36,field_goal_attempts,two_point_attempt_share,three_point_attempt_share,free_throw_attempt_rate,event_two_point_attempt_share,event_three_point_attempt_share,mean_lateral_shot_position,lateral_shot_position_std,mean_longitudinal_shot_position,longitudinal_shot_position_std,mean_raw_shot_distance,median_raw_shot_distance,raw_shot_distance_std,zone_a_attempt_share,zone_b_attempt_share,zone_c_attempt_share,zone_d_attempt_share,zone_e_attempt_share,zone_f_attempt_share,zone_g_attempt_share,zone_h_attempt_share,zone_i_attempt_share,zone_j_attempt_share,valuation,plus_minus
E2017_P003733_PAM,E2017,P003733,"ABALDE, ALBERTO",PAM,202.0,Forward,Spain,1995-12-15T00:00:00,25,9,478.5,True,True,True,True,143.0,143.0,143.0,190,43,89,0.483,28,54,0.519,20,23,0.87,12,40,52,42,8,32,0,5,44,36,14.294670846394984,6.6959247648902815,4.06269592476489,1.7304075235109717,0.90282131661442,3.0094043887147337,3.1598746081504703,0.6018808777429467,2.407523510971787,0.0,3.310344827586207,2.70846394984326,143,0.6223776223776224,0.3776223776223776,0.16083916083916083,0.6223776223776224,0.3776223776223776,-22.09090909090909,355.476528198237,310.3916083916084,229.67122965644148,460.34323144115626,533.3526038185246,251.43000349105796,0.006993006993006993,0.18181818181818182,0.1258741258741259,0.06293706293706294,0.06293706293706294,0.11188811188811189,0.06993006993006994,0.20279720279720279,0.17482517482517482,0.0,172,-22
E2019_P003733_PAM,E2019,P003733,"ABALDE, ALBERTO",PAM,202.0,Forward,Spain,1995-12-15T00:00:00,23,4,499.3,True,True,True,True,150.0,150.0,150.0,179,49,97,0.505,15,53,0.283,36,49,0.735,32,60,92,38,11,19,0,8,29,40,12.906068495894251,6.993791307830963,3.8213498898457843,3.532946124574404,2.3072301221710396,4.326056479070699,2.7398357700781095,0.7931103544962947,1.3699178850390548,0.0,2.0909272982175042,2.884037652713799,150,0.6466666666666666,0.35333333333333333,0.32666666666666666,0.6466666666666666,0.35333333333333333,-51.71333333333333,290.22653352274045,258.52666666666664,260.18887555383435,380.97596068868864,290.7197573354662,275.29931979671574,0.07333333333333333,0.22,0.18,0.08666666666666667,0.02666666666666667,0.04,0.02,0.21333333333333335,0.14,0.0,205,12
E2020_P003733_MAD,E2020,P003733,"ABALDE, ALBERTO",MAD,202.0,Forward,Spain,1995-12-15T00:00:00,39,23,761.2,True,True,True,True,215.0,215.0,215.0,281,47,100,0.47,50,115,0.435,37,44,0.841,11,93,104,91,21,38,0,6,60,57,13.28954282711508,4.729374671571203,5.438780872306884,2.0809248554913293,0.5202312138728323,4.398318444561219,4.303730951129794,0.9931686810299526,1.7971623751970573,0.0,2.8376248029427216,2.6957435627955855,215,0.46511627906976744,0.5348837209302325,0.20465116279069767,0.46511627906976744,0.5348837209302325,-87.44186046511628,348.6908695945143,392.7348837209302,260.43348020025263,531.8459836010378,685.1693221386959,260.52301539134874,0.009302325581395349,0.14418604651162792,0.06511627906976744,0.09302325581395349,0.06511627906976744,0.06046511627906977,0.027906976744186046,0.3395348837209302,0.18604651162790697,0.009302325581395349,325,41
E2021_P003733_MAD,E2021,P003733,"ABALDE, ALBERTO",MAD,202.0,Forward,Spain,1995-12-15T00:00:00,30,19,563.4,True,True,True,True,164.0,164.0,164.0,179,40,90,0.444,25,74,0.338,24,32,0.75,20,69,89,44,14,33,0,2,56,35,11.437699680511184,5.7507987220447285,4.728434504792332,2.0447284345047922,1.2779552715654952,4.4089456869009584,2.8115015974440896,0.8945686900958467,2.108626198083067,0.0,3.578274760383387,2.236421725239617,164,0.5487804878048781,0.45121951219512196,0.1951219512195122,0.5487804878048781,0.45121951219512196,5.414634146341464,373.56580390324484,334.9024390243902,268.99883046504254,503.2651292417456,546.3028621483004,264.4983721874992,0.018292682926829267,0.14634146341463414,0.10975609756097561,0.054878048780487805,0.10365853658536585,0.04878048780487805,0.04878048780487805,0.25609756097560976,0.21341463414634146,0.0,163,65
E2022_P003733_MAD,E2022,P003733,"ABALDE, ALBERTO",MAD,202.0,Forward,Spain,1995-12-15T00:00:00,25,10,345.0,True,True,True,True,63.0,63.0,63.0,63,10,27,0.37,9,36,0.25,16,24,0.667,10,40,50,38,7,14,0,2,41,20,6.573913043478261,2.8173913043478263,3.7565217391304344,2.5043478260869567,1.0434782608695652,4.173913043478261,3.9652173913043476,0.7304347826086957,1.4608695652173913,0.0,4.278260869565218,2.0869565217391304,63,0.42857142857142855,0.5714285714285714,0.38095238095238093,0.42857142857142855,0.5714285714285714,5.0,353.9435438852706,427.6666666666667,276.2055686061239,556.5724550687363,717.4712537795504,269.57461838206564,0.015873015873015872,0.1111111111111111,0.06349206349206349,0.12698412698412698,0.047619047619047616,0.047619047619047616,0.015873015873015872,0.25396825396825395,0.30158730158730157,0.015873015873015872,69,41
E2023_P003733_MAD,E2023,P003733,"ABALDE, ALBERTO",MAD,202.0,Forward,Spain,1995-12-15T00:00:00,24,9,308.0,True,True,True,True,68.0,68.0,68.0,86,11,22,0.5,19,46,0.413,7,8,0.875,6,39,45,16,10,5,1,2,25,10,10.05194805194805,2.571428571428571,5.376623376623376,0.9350649350649352,0.7012987012987013,4.558441558441558,1.8701298701298703,1.1688311688311688,0.5844155844155844,0.1168831168831169,2.9220779220779223,1.1688311688311688,68,0.3235294117647059,0.6764705882352942,0.11764705882352941,0.3235294117647059,0.6764705882352942,-12.102941176470589,391.1105176368257,451.5882352941176,247.93934232280725,591.9911664336702,724.9958547802812,256.6739671542852,0.0,0.10294117647058823,0.10294117647058823,0.029411764705882353,0.014705882352941176,0.029411764705882353,0.029411764705882353,0.3382352941176471,0.35294117647058826,0.0,97,42
E2024_P003733_MAD,E2024,P003733,"ABALDE, ALBERTO",MAD,202.0,Forward,Spain,1995-12-15T00:00:00,39,28,736.0,True,True,True,True,160.0,160.0,160.0,229,43,73,0.589,40,87,0.46,23,26,0.885,17,75,92,66,19,19,0,1,72,25,11.20108695652174,3.5706521739130435,4.255434782608695,1.2717391304347825,0.8315217391304347,3.668478260869565,3.2282608695652173,0.9293478260869565,0.9293478260869565,0.0,3.5217391304347827,1.2228260869565217,160,0.45625,0.54375,0.1625,0.45625,0.54375,-31.4625,381.9126952079576,384.01875,245.2097157081525,531.391996910603,693.7207734543167,266.88143433803396,0.00625,0.16875,0.05625,0.11875,0.0625,0.03125,0.0125,0.275,0.26875,0.0,259,120
E2025_P003733_MAD,E2025,P003733,"ABALDE, ALBERTO",MAD,202.0,Forward,Spain,1995-12-15T00:00:00,42,40,654.0,True,True,True,True,153.0,153.0,153.0,192,33,72,0.458,38,81,0.469,12,15,0.8,23,43,66,53,18,27,1,5,79,24,10.568807339449542,3.963302752293578,4.458715596330276,0.8256880733944955,1.2660550458715596,2.36697247706422,2.9174311926605503,0.9908256880733946,1.4862385321100917,0.05504587155963303,4.348623853211009,1.3211009174311927,153,0.47058823529411764,0.5294117647058824,0.09803921568627451,0.47058823529411764,0.5294117647058824,-27.69281045751634,421.572187129474,326.90849673202615,256.3161945177624,536.7453906250257,684.3522484802692,248.54438081063861,0.0,0.1111111111111111,0.08496732026143791,0.09803921568627451,0.09803921568627451,0.0457516339869281,0.032679738562091505,0.28104575163398693,0.24836601307189543,0.0,158,47
E2011_P003527_CTU,E2011,P003527,"ABASS, AWUDU",CTU,200.0,Forward,Italy,1993-01-27T00:00:00,0,0,0.0,False,False,False,False,,,,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0
E2012_P003527_CTU,E2012,P003527,"ABASS, AWUDU",CTU,200.0,Forward,Italy,1993-01-27T00:00:00,2,0,36.8,True,True,True,True,12.0,12.0,12.0,7,2,7,0.286,1,5,0.2,0,0,0.0,6,6,12,0,2,0,0,1,2,0,6.847826086956522,6.847826086956522,4.891304347826088,0.0,5.869565217391305,5.869565217391305,0.0,1.956521739130435,0.0,0.0,1.956521739130435,0.0,12,0.5833333333333334,0.4166666666666667,0.0,0.5833333333333334,0.4166666666666667,-107.58333333333333,392.0128611835756,301.0833333333333,250.72094532416398,475.79974574874154,418.20878977129655,284.75910446697907,0.0,0.25,0.08333333333333333,0.16666666666666666,0.0,0.08333333333333333,0.0,0.16666666666666666,0.25,0.0,9,-15
