player_id,position,position_wiki,position_365scores,position_reconciled
P008985,Guard,Point Guard,Small Forward,Small Forward
P008991,Center,Center,Power Forward,Power Forward
P008995,Guard,Shooting Guard,Point Guard,Point Guard
P009003,Guard,Shooting Guard,Point Guard,Point Guard
P009004,Forward,Center,Power Forward,Power Forward
P009005,Forward,Power Forward,Small Forward,Small Forward
P009033,Guard,Shooting Guard,Point Guard,Point Guard
P009056,Forward,Shooting Guard,Power Forward,Power Forward
P009132,Guard,Shooting Guard,Small Forward,Small Forward
P009213,Center,Power Forward,Center,Center
P009299,Guard,Shooting Guard,Point Guard,Point Guard
P009449,Guard,Point Guard,Shooting Guard,Shooting Guard
P009549,Guard,Small Forward,Shooting Guard,Shooting Guard
P009580,Center,Center,Power Forward,Power Forward
P009748,Center,Power Forward,Small Forward,Small Forward
P009783,Forward,Small Forward,Power Forward,Power Forward
P009817,Forward,Small Forward,Shooting Guard,Shooting Guard
P009847,Forward,Power Forward,Small Forward,Small Forward
P009863,Guard,Point Guard,Shooting Guard,Shooting Guard
P009864,Center,Power Forward,Center,Center
P009960,Center,Center,Small Forward,Small Forward
P010062,Guard,Small Forward,Point Guard,Point Guard
P010254,Forward,Shooting Guard,Small Forward,Small Forward
P010327,Forward,Small Forward,Power Forward,Power Forward
P010356,Forward,Center,Small Forward,Small Forward
P010357,Forward,Center,Power Forward,Power Forward
P010387,Forward,Small Forward,Power Forward,Power Forward
P010389,Guard,Shooting Guard,Point Guard,Point Guard
P010391,Guard,Point Guard,Shooting Guard,Shooting Guard
P010393,Center,Power Forward,Center,Center
P010413,Guard,Point Guard,Shooting Guard,Shooting Guard
P010414,Center,Power Forward,Center,Center
P010458,Center,Power Forward,Small Forward,Small Forward
P010465,Forward,Small Forward,Shooting Guard,Shooting Guard
P010467,Center,Center,Small Forward,Small Forward
P010545,Center,Center,Power Forward,Power Forward
P010549,Guard,Shooting Guard,Point Guard,Point Guard
P010560,Forward,Power Forward,Small Forward,Small Forward
P010581,Forward,Power Forward,Center,Center
P010588,Forward,Power Forward,Small Forward,Small Forward
P010612,Guard,Shooting Guard,Point Guard,Point Guard
P010857,Forward,Power Forward,Small Forward,Small Forward
P010988,Guard,Shooting Guard,Point Guard,Point Guard
P011051,Forward,Center,Power Forward,Power Forward
P011078,Guard,Point Guard,Shooting Guard,Shooting Guard
P011085,Forward,Small Forward,Shooting Guard,Shooting Guard
P011194,Center,Power Forward,Center,Center
P011196,Center,Center,Power Forward,Power Forward
P011201,Guard,Point Guard,Shooting Guard,Shooting Guard
P011202,Guard,Small Forward,Power Forward,Power Forward
P011209,Guard,Small Forward,Shooting Guard,Shooting Guard
P011217,Forward,Small Forward,Shooting Guard,Shooting Guard
P011218,Guard,Shooting Guard,Point Guard,Point Guard
P011219,Forward,Power Forward,Center,Center
P011231,Forward,Power Forward,Small Forward,Small Forward
P011239,Center,Center,Power Forward,Power Forward
P011247,Guard,Point Guard,Shooting Guard,Shooting Guard
P011248,Guard,Shooting Guard,Point Guard,Point Guard
P011261,Guard,Shooting Guard,Small Forward,Small Forward
P011284,Center,Center,Power Forward,Power Forward
P011302,Forward,Shooting Guard,Point Guard,Point Guard
P011375,Guard,Point Guard,Shooting Guard,Shooting Guard
P011666,Guard,Shooting Guard,Power Forward,Power Forward
P011925,Guard,Point Guard,Shooting Guard,Shooting Guard
P011935,Center,Center,Power Forward,Power Forward
P011937,Forward,Small Forward,Shooting Guard,Shooting Guard
P011938,Guard,Point Guard,Shooting Guard,Shooting Guard
P011949,Forward,Power Forward,Point Guard,Point Guard
P011964,Forward,Center,Small Forward,Small Forward
P011973,Forward,Center,Power Forward,Power Forward
P012023,Guard,Shooting Guard,Point Guard,Point Guard
P012058,Center,Center,Power Forward,Power Forward
P012080,Forward,Small Forward,Shooting Guard,Shooting Guard
P012096,Center,Power Forward,Center,Center
