season_code,player_id,team_id,two_points_attempted,three_points_attempted,two_point_event_count,three_point_event_count,field_goal_attempts_season,field_goal_attempts_event,field_goal_attempts_diff
E2022,P011973,PAM,103,12,103.0,12.0,115,115.0,0.0
E2008,PJCF,ZAL,3,0,3.0,0.0,3,3.0,0.0
E2007,PLII,LEM,1,0,1.0,0.0,1,1.0,0.0
E2025,P010105,MAD,1,0,1.0,0.0,1,1.0,0.0
E2010,P002810,MAL,2,4,2.0,4.0,6,6.0,0.0
E2020,P010623,MAD,68,39,68.0,39.0,107,107.0,0.0
E2021,P010623,MAD,15,16,15.0,16.0,31,31.0,0.0
E2023,P010623,MAD,21,11,21.0,11.0,32,32.0,0.0
E2025,P014005,VIR,138,132,138.0,132.0,270,270.0,0.0
E2014,P004992,ULK,4,0,4.0,0.0,4,4.0,0.0
E2015,P004992,KSK,22,15,22.0,15.0,37,37.0,0.0
E2013,P002875,TEL,1,0,1.0,0.0,1,1.0,0.0
E2014,P002875,TEL,0,0,0.0,0.0,0,0.0,0.0
E2023,P012417,IST,0,0,0.0,0.0,0,0.0,0.0
E2007,PAPH,PAN,9,27,9.0,27.0,36,36.0,0.0
E2008,PAPH,PAN,0,2,0.0,2.0,2,2.0,0.0
E2021,P005059,MIL,4,11,4.0,11.0,15,15.0,0.0
E2022,P005059,MIL,1,6,1.0,6.0,7,7.0,0.0
E2011,PCNZ,NAN,36,24,36.0,24.0,60,60.0,0.0
E2014,PCNZ,LMG,7,9,7.0,9.0,16,16.0,0.0
E2018,P008977,MUN,4,7,4.0,7.0,11,11.0,0.0
E2020,P008977,MUN,5,3,5.0,3.0,8,8.0,0.0
E2011,P002851,MIL,0,0,0.0,0.0,0,0.0,0.0
E2015,P002851,MIL,0,0,0.0,0.0,0,0.0,0.0
E2022,P012378,MCO,0,0,0.0,0.0,0,0.0,0.0
E2010,PBZO,LJU,9,0,9.0,0.0,9,9.0,0.0
E2007,PAKT,CSK,191,48,191.0,48.0,239,239.0,0.0
E2008,PAKT,BAR,147,52,147.0,52.0,199,199.0,0.0
E2011,PAKT,SIE,165,36,165.0,36.0,201,201.0,0.0
E2012,PAKT,ULK,116,38,116.0,38.0,154,154.0,0.0
E2007,PTGV,VIR,63,20,63.0,20.0,83,83.0,0.0
E2008,PTGV,CIB,61,33,61.0,33.0,94,94.0,0.0
E2009,PTGV,TEL,136,62,136.0,62.0,198,198.0,0.0
E2010,PTGV,BAR,54,33,54.0,33.0,87,87.0,0.0
E2014,P005938,ZAL,178,140,178.0,140.0,318,318.0,0.0
E2016,P005938,DAR,149,136,149.0,136.0,285,285.0,0.0
E2017,P005938,KHI,112,119,112.0,119.0,231,231.0,0.0
E2018,P005938,IST,56,82,56.0,82.0,138,138.0,0.0
E2019,P005938,IST,40,44,40.0,44.0,84,84.0,0.0
E2020,P005938,IST,63,51,63.0,51.0,114,114.0,0.0
E2021,P005938,IST,42,22,42.0,22.0,64,64.0,0.0
E2023,P012795,PAM,49,45,49.0,45.0,94,94.0,0.0
E2024,P012795,BAR,107,75,107.0,75.0,182,182.0,0.0
E2025,P012795,DUB,60,88,60.0,88.0,148,148.0,0.0
E2007,P000183,LJU,1,2,1.0,2.0,3,3.0,0.0
E2022,P011248,PAN,12,8,12.0,8.0,20,20.0,0.0
E2007,PJDQ,CIB,46,14,46.0,14.0,60,60.0,0.0
E2008,PJDQ,CIB,37,11,37.0,11.0,48,48.0,0.0
E2009,PJDQ,CIB,97,13,97.0,13.0,110,110.0,0.0
E2011,PJDQ,GAL,120,0,120.0,0.0,120,120.0,0.0
E2012,PJDQ,CED,54,11,54.0,11.0,65,65.0,0.0
E2013,P002574,PAR,7,14,7.0,14.0,21,21.0,0.0
E2011,P000956,PAR,2,22,2.0,22.0,24,24.0,0.0
E2012,P000956,PAR,9,14,9.0,14.0,23,23.0,0.0
E2016,P000956,UNK,17,19,17.0,19.0,36,36.0,0.0
E2021,P000956,MCO,82,80,82.0,80.0,162,162.0,0.0
E2022,P000956,PAR,42,66,42.0,66.0,108,108.0,0.0
E2023,P000956,PAR,50,50,50.0,50.0,100,100.0,0.0
E2025,P000956,DUB,0,2,0.0,2.0,2,2.0,0.0
E2025,P010465,ASV,70,75,70.0,75.0,145,145.0,0.0
E2013,P004327,NIK,0,0,0.0,0.0,0,0.0,0.0
E2007,PTFN,LIE,16,0,16.0,0.0,16,16.0,0.0
E2013,PTFN,NIK,25,0,25.0,0.0,25,25.0,0.0
E2021,P011221,ASV,85,5,85.0,5.0,90,90.0,0.0
E2022,P011221,ULK,17,1,17.0,1.0,18,18.0,0.0
E2023,P011221,PAN,49,0,49.0,0.0,49,49.0,0.0
E2024,P011221,PAN,5,0,5.0,0.0,5,5.0,0.0
E2025,P011221,OLY,4,0,4.0,0.0,4,4.0,0.0
E2017,P007865,PAN,75,14,75.0,14.0,89,89.0,0.0
E2018,P007865,PAN,64,22,64.0,22.0,86,86.0,0.0
E2011,PBAE,OLY,72,68,72.0,68.0,140,140.0,0.0
E2012,PBAE,OLY,66,115,66.0,115.0,181,181.0,0.0
E2015,PBAE,ULK,51,83,51.0,83.0,134,134.0,0.0
E2016,PBAE,ULK,31,80,31.0,80.0,111,111.0,0.0
E2017,PBAE,RED,28,73,28.0,73.0,101,101.0,0.0
E2014,P002026,UNK,4,3,4.0,3.0,7,7.0,0.0
E2016,P002026,UNK,37,75,37.0,75.0,112,112.0,0.0
E2014,P004941,NOV,77,86,77.0,86.0,163,163.0,0.0
E2016,P004941,CSK,21,26,21.0,26.0,47,47.0,0.0
E2017,P004941,CSK,56,50,56.0,50.0,106,106.0,0.0
E2018,P004941,CSK,19,15,19.0,15.0,34,34.0,0.0
E2019,P004941,CSK,25,13,25.0,13.0,38,38.0,0.0
E2020,P004941,CSK,27,24,27.0,24.0,51,51.0,0.0
E2021,P004941,CSK,17,22,17.0,22.0,39,39.0,0.0
E2010,P000781,BAR,1,0,1.0,0.0,1,1.0,0.0
E2017,P003945,RED,2,0,2.0,0.0,2,2.0,0.0
E2013,PAOC,PAN,1,0,1.0,0.0,1,1.0,0.0
E2007,PTEQ,MIL,28,13,28.0,13.0,41,41.0,0.0
E2010,PTEQ,SIE,28,18,28.0,18.0,46,46.0,0.0
E2011,PTEQ,SIE,39,16,39.0,16.0,55,55.0,0.0
E2012,PTEQ,CTU,57,23,57.0,23.0,80,80.0,0.0
E2014,PTEQ,GAL,21,15,21.0,15.0,36,36.0,0.0
E2013,P003263,PAR,1,0,1.0,0.0,1,1.0,0.0
E2014,P004402,CED,20,7,20.0,7.0,27,27.0,0.0
E2015,P004402,CED,103,54,103.0,54.0,157,157.0,0.0
E2014,P005813,GAL,12,10,12.0,10.0,22,22.0,0.0
E2016,P005813,GAL,23,0,23.0,0.0,23,23.0,0.0
E2008,PKBD,MAL,69,0,69.0,0.0,69,69.0,0.0
E2009,PKBD,MAL,69,0,69.0,0.0,69,69.0,0.0
E2010,PKBD,MAL,71,0,71.0,0.0,71,71.0,0.0
E2008,PDBE,SOP,38,13,38.0,13.0,51,51.0,0.0
E2009,PBKY,MAR,1,0,1.0,0.0,1,1.0,0.0
E2017,P007516,ZAL,1,1,1.0,1.0,2,2.0,0.0
E2012,P003331,PAN,7,0,7.0,0.0,7,7.0,0.0
E2025,P014141,DUB,3,2,3.0,2.0,5,5.0,0.0
E2015,P005348,ULK,8,5,8.0,5.0,13,13.0,0.0
E2016,P005348,ULK,0,0,0.0,0.0,0,0.0,0.0
E2017,P005348,ULK,2,0,2.0,0.0,2,2.0,0.0
E2018,P005348,ULK,1,1,1.0,1.0,2,2.0,0.0
E2019,P005348,ULK,0,0,0.0,0.0,0,0.0,0.0
E2022,P005348,IST,0,4,0.0,4.0,4,4.0,0.0
E2010,P002508,PAM,0,0,0.0,0.0,0,0.0,0.0
E2008,PBCA,TEL,133,58,133.0,58.0,191,191.0,0.0
E2013,PBCA,GAL,170,130,170.0,130.0,300,300.0,0.0
E2014,PBCA,GAL,91,81,91.0,81.0,172,172.0,0.0
E2015,PBCA,BAR,55,63,55.0,63.0,118,118.0,0.0
E2017,P008025,OLY,0,0,0.0,0.0,0,0.0,0.0
E2007,PARN,IST,47,52,47.0,52.0,99,99.0,0.0
E2008,PARN,IST,14,20,14.0,20.0,34,34.0,0.0
E2009,PARN,IST,21,30,21.0,30.0,51,51.0,0.0
E2010,PARN,IST,8,11,8.0,11.0,19,19.0,0.0
E2011,PARN,GAL,24,39,24.0,39.0,63,63.0,0.0
E2013,PARN,GAL,77,67,77.0,67.0,144,144.0,0.0
E2014,PARN,GAL,47,73,47.0,73.0,120,120.0,0.0
E2015,PARN,DAR,27,56,27.0,56.0,83,83.0,0.0
E2016,PARN,DAR,1,5,1.0,5.0,6,6.0,0.0
E2010,P001589,MAD,3,0,3.0,0.0,3,3.0,0.0
E2007,P000709,ULK,73,1,73.0,1.0,74,74.0,0.0
E2009,P000709,ULK,38,0,38.0,0.0,38,38.0,0.0
E2014,P005961,CSK,1,5,1.0,5.0,6,6.0,0.0
E2017,P005961,CSK,0,0,0.0,0.0,0,0.0,0.0
E2025,P012268,ASV,20,38,20.0,38.0,58,58.0,0.0
E2015,P004290,OLY,12,34,12.0,34.0,46,46.0,0.0
E2016,P004290,OLY,4,3,4.0,3.0,7,7.0,0.0
E2020,P007674,TEL,2,0,2.0,0.0,2,2.0,0.0
E2008,P000185,IST,0,0,0.0,0.0,0,0.0,0.0
E2011,P000185,ULK,6,15,6.0,15.0,21,21.0,0.0
E2013,P000185,GAL,5,3,5.0,3.0,8,8.0,0.0
E2017,P007948,PAN,16,0,16.0,0.0,16,16.0,0.0
E2020,P007948,PAN,58,1,58.0,1.0,59,59.0,0.0
